Check Item,GCMNA Code,Sorting Nature of Info Produced,Features,Selected Item,GCMNA Scope,GCMNA Point Person,Update Status,History,Places to reduce from 38 Meter,Builder  ID Number,Location,Category,Electrical,Unit Measurement (Feet),Preferred MFG.,Model,Hyperlink,Source,Weight Per Unit (LBS),Quantity,Weight Total (LBS),% of Parent Weight,LCG,TCG,VCG,Longitudinal Moment,Transverse Moment (Port is Neg.),Vertical Moment,Document Number,Start Date,3D Model In Library,End Date,Duration,Predecessors,Material / Color,Size
,304-00,Design Heading,Generator Exhaust Drawings and Models,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3D models,Generator Exhaust 3D modelling,,,Matt,,,,,,,,,,,,,,,,,,,,,,,4383-304-01,,,,,,,
,,Drawings / Deliverables,Generator Exhaust System A&D,,,Matt,,,,,,,,,,,,,,,,,,,,,,,4383-304-02,,,,,,,
,,Drawings / Deliverables,Generator Exhaust Systems Foundations and Fabrications,,,Matt,,,,,,,,,,,,,,,,,,,,,,,4383-304-03,,,,,,,
,305,Heading,Engine Room Air,TRUE,,,,,Sideways,,,,,,,,,SubItems,,,691.2,2.68%,93.85,3.31,15.64,64876,2285,10812,,,,,,,,
,305-00,Spec Heading,Engineroom Ventilation,TRUE,,,Updated,,,100391-01,,,,,,,,SubItems,,,691.2,100.00%,93.85,3.31,15.64,64876,2285,10812,,,,,,,,
,,Spec Item,"Plenum, Fan Intake Closure Panel",TRUE,,Matt,Updated,New,Sideways,102810-01,Engineroom,TBD,N/A,FT2,,,,Guess,0.983,28.25,27.8,4.02%,96.45,9.92,15.62,2678,275,434,,,,,,,,
,,Spec Item,"Plenum, Fan Extraction Closure Panel",TRUE,,Matt,Updated,New,Sideways,102812-01,Engineroom,TBD,N/A,EA,,,,Guess,0.983,6.583,6.5,0.94%,96.45,9.92,15.62,624,64,101,,,,,,,,
,,Spec Item,"Transition Damper / Fan S.S. 25"" x 19""",TRUE,,Matt,Updated,New,Sideways,103231-01,Engineroom,TBD,N/A,EA,,,,Solidworks,15,1,15.0,2.17%,95.42,-10.23,17.41,1431,-153,261,,,,,,,,
,,Spec Item,"Damper, Exhaust S.S. 25"" A60 for 19"" Fan",TRUE,,Matt,Updated,New,Sideways,103230-01,Engineroom,TBD,TBD,EA,,,,Solidworks,135,1,135.0,19.53%,95.75,-10.23,17.01,12926,-1381,2296,,,,,,,,
,,Spec Item,"Damper, Intake S.S. 34"" A60 for 24"" Fan",TRUE,,Matt,Updated,New,Sideways,103275-01,Engineroom,TBD,TBD,EA,,,,Solidworks,200,1,200.0,28.93%,94.72,9.87,12.66,18944,1974,2532,,,,,,,,
,,Spec Item,"Transition Damper / Fan S.S. 25"" x 19""",TRUE,,Matt,Updated,,Sideways,103266-01,Engineroom,TBD,,EA,,,,Solidworks,30,1,30.0,4.34%,95.09,9.91,13.13,2853,297,394,,,,,,,,
,,Spec Item,"Demister, Box 65.5"" x 17"" x 7""",TRUE,,Matt,Updated,,Sideways,103286-01,Engineroom,TBD,,EA,,,,Solidworks,25,2,50.0,7.23%,74.83,8.80,24.57,3742,440,1229,,,,,,,,
,,Spec Item,"Fan, Intake, 28"" 7.5HP 1740 RPM 230-460/3/60",TRUE,,Matt,Updated,WP3800,Sideways,235239,Engineroom,Fans,,EA,,,,Manufacturer,127,1,127.0,18.37%,95.50,10.25,14.43,12129,1302,1833,,,,,,,,
,,Spec Item,"Gasket, Sylomer, W12, 28"" Intake Fan",TRUE,,Matt,Updated,,Sideways,102920-01,Engineroom,TBD,,EA,,,,Guess,5,1,5.0,0.72%,95.50,10.25,13.56,478,51,68,,,,,,,,
,,Spec Item,"Mounting Ring, 28"" Intake Fan",TRUE,,Matt,Updated,,Sideways,102921-01,Engineroom,TBD,,EA,,,,Solidworks,6,1,6.0,0.87%,95.50,10.25,13.52,573,62,81,,,,,,,,
,,Spec Item,"Bellmouth Ring, 28"" Intake Fan",TRUE,,Matt,Updated,New,Sideways,102924-01,Engineroom,TBD,N/A,EA,,,,Guess,8,1,8.0,1.16%,95.50,10.25,15.75,764,82,126,,,,,,,,
,,Spec Item,"Fan, Exhaust, 19""  1.5HP 1710 RPM 230-460/3/60",TRUE,,Matt,Updated,WP3800,Sideways,22187,Engineroom,Fans,,EA,,,,Manufacturer,61,1,61.0,8.82%,95.50,-10.25,18.56,5826,-625,1132,,,,,,,,
,,Spec Item,"Gasket, Sylomer, W12, 19"" Exhaust Fan",TRUE,,Matt,Updated,,Sideways,103199-01,Engineroom,TBD,,EA,,,,Guess,2,1,2.0,0.29%,95.50,-10.25,17.82,191,-21,36,,,,,,,,
,,Spec Item,"Mounting Ring, 19"" Exhaust Fan",TRUE,,Matt,Updated,,Sideways,103143-01,Engineroom,TBD,,,,,,Solidworks,3,1,3.0,0.43%,95.50,-10.25,17.78,287,-31,53,,,,,,,,
,,Spec Item,"Screen Mesh, 19"" Exhaust Fan",TRUE,,Matt,Updated,WP3800,Sideways,103226-01,Engineroom,TBD,N/A,EA,,,,Guess,2,1,2.0,0.29%,95.50,-10.25,19.19,191,-21,38,,,,,,,,
,,Spec Item,"Screen Mesh, 28"" Intake Fan",TRUE,,Matt,Updated,WP3800,Sideways,102923-01,Engineroom,TBD,N/A,EA,,,,Guess,3,1,3.0,0.43%,95.50,-10.25,15.60,287,-31,47,,,,,,,,
,,Spec Item,Miscellaneous Hardware,TRUE,,Matt,Updated,WP3801,Sideways,NA,Engineroom,TBD,,EA,,,,Guess,10,1,10.0,1.45%,95.42,0.00,15.17,954,0,152,,,,,,,,
,305-00,Design Heading,Engineroom Air Drawings and Models,,,,,,,,,,,,,,,,,,,,,,,,,,305-00,,,,,,,
,,Calculations,Engineroom Ventilation Calculations,,,Matt,,,,,,,,,,,,,,,,,,,,,,,4383-305-01,,,,,,,
,,3D models,Engineroom Ventilation 3D modelling,,,Matt,,,,,,,,,,,,,,,,,,,,,,,4383-305-02,,,,,,,
,,Drawings / Deliverables,Engineroom Ventilation Exterior Louvers A&D,,,Matt,,,,,,,,,,,,,,,,,,,,,,,4383-305-03,,,,,,,
,,Drawings / Deliverables,Engineroom Air Moisture Separators A&D,,,Matt,,,,,,,,,,,,,,,,,,,,,,,4383-305-04,,,,,,,
,306,Heading,Engine Cooling,,,,,,Sideways,,,,,,,,,SubItems,,,,,,,,,,,,,,,,,,
TRUE,306-00,Spec Heading,Engine Cooling Features & Components,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,306-01,Specifications,Weight Data in Seawater System,,,Matt,Updated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,306-00,Design Heading,Engine Cooling Drawings and Models,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3D models,Engine Cooling 3D modelling,,,,,,,,,,,,,,,,,,,,,,,,,,4383-306-01,,,,,,,
,,Drawings / Deliverables,Engine Cooling A&D,,,,,,,,,,,,,,,,,,,,,,,,,,4383-306-02,,,,,,,
,307,Heading,Machinery Space Outfit,TRUE,,,,,Down,,,,,,,,,SubItems,,,420.0,1.63%,90.17,-1.18,6.45,37873,-495,2710,,,,,,,,
,307-00,Spec Heading,Machinery Space outfit Features & Components,TRUE,,,,,,,,,,,,,,,,,420.0,100.00%,90.17,-1.18,6.45,37873,-495,2710,,,,,,,,
,307-01,Specifications,Workbench,,,Matt,Updated,,,,,,,,,,,Guess,80,,,,100.75,-10.25,5.65,,,,,,,,,,,
,307-02,Specifications,Sink,,,Matt,Updated,,,,,,,,,,,Guess,15,,,,100.75,-10.25,5.65,,,,,,,,,,,
,307-03,Specifications,Tools & Toolboxes,,,Matt,Updated,,,,,,,,,,,Guess,500,,,,100.75,-10.25,5.65,,,,,,,,,,,
,307-04,Specifications,Machinery Area Deck Plates and Support Structure,TRUE,,Matt,Updated,,,,,,,,,,,Guess,300,1,300.0,71.43%,90.94,-0.04,5.65,27282,-12,1695,,,,,,,,
,307-05,Specifications,Machinery Area Handrails,TRUE,,Matt,Updated,,,,,,,,,,,Guess,70,1,70.0,16.67%,90.94,-0.04,7.50,6366,-3,525,,,,,,,,
,307-06,Specifications,Machinery Area Escape Ladder(s),TRUE,,Matt,Updated,,,,,,,,,,,Guess,50,1,50.0,11.90%,84.50,-9.60,9.80,4225,-480,490,,,,,,,,
,307-07,Specifications,Machinery Area Equipment Service Lifting Points,,,Matt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,307-08,Specifications,Spares and Stowage,,,Matt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,307-09,Specifications,General Space Allocation for Spares,,,Matt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,307-00,Design Heading,Machinery Space Outfit Drawings and Models,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3D models,Machinery Space Outfit 3D modelling,,,,,,,,,,,,,,,,,,,,,,,,,,4383-307-01,,,,,,,
,,Drawings / Deliverables,Machinery and Technical Space Outfitting A&D,,,,,,,,,,,,,,,,,,,,,,,,,,4383-307-02,,,,,,,
,,Drawings / Deliverables,Machinery and Technical Spaces Outfitting foundations and Fabrications,,,,,,,,,,,,,,,,,,,,,,,,,,4383-307-03,,,,,,,
,400,Heading,Electrical,TRUE,,,Updated,,Down,,,,,,,,,SubItems,,,23049.9,8.94%,80.31,1.66,11.39,1851156,38224,262474,,,,,,,,
TRUE,,Spec Heading,"Electrical System, Forepeak",TRUE,,,Updated,,,100213.008-01,Forepeak,,,,,,,SubItems,,,31.0,0.13%,13.00,0.00,12.50,403,0,388,,,,,,,,
,,Spec Item,Undersole Light Shim,TRUE,,Matt,Updated,WP 3800,Sideways,740.011-01,Forepeak,Foundations,N/A,Each,,,,Guess,2,4,8.0,25.81%,13.00,0.00,12.50,104,0,100,,,No,,,,,
,,Spec Item,"Light Fixture, Marine Utility, Anodized Aluminum, IP65",TRUE,,Matt,Updated,WP 3800,Sideways,236468,Forepeak,Lighting,TBD,Each,,,,Guess,5,4,20.0,64.52%,13.00,0.00,12.50,260,0,250,,,No,,,,,
,,Spec Item,Switch with Cover & Box,TRUE,,Matt,Updated,WP 3800,Sideways,NA,Forepeak,Switches,N/A,Each,,,,Guess,3,1,3.0,9.68%,13.00,0.00,12.50,39,0,38,,,No,,,,,
TRUE,,Spec Heading,"Electrical System, Bilge Forward",TRUE,,,Updated,,,100214.008-01,Bilge Forward,,,,,,,SubItems,,,78.7,0.34%,37.50,-1.12,4.50,2951,-88,354,,,,,,,,
,,Spec Item,"Bilge Utility Light Assembly (Light Shim 740.011-40, Light Fixture 236486)",TRUE,,Matt,Updated,WP 3800,Sideways,"740.011-40, 236486",Bilge Forward,Lighting,N/A,Each,,,,Guess,8,4,32.0,40.66%,37.50,0.50,4.50,1200,16,144,,,No,,,,,
,,Spec Item,"3-Way Utility Switch, Single Utility Box, Switch Cover Plate",TRUE,,Matt,Updated,WP 3800,Sideways,"22161, 22161,218869",Bilge Forward,Switches,N/A,Each,TBD,TBD,,Guess,4,2,8.0,10.17%,37.50,0.78,4.50,300,6,36,,,No,,,,,
,,Spec Item,"Switch, Ultra, Only Normally Open",TRUE,,Matt,Updated,WP 3800,Sideways,202432,Bilge Forward,Switches,TBD,Each,Ultra,TBD,,Guess,3,1,3.0,3.81%,37.50,0.35,4.50,113,1,14,,,No,,,,,
,,Spec Item,"Copper Ground Bar, 10 Position",TRUE,,Matt,Updated,WP 3800,Sideways,72267,Bilge Forward,Electrical Fittings,,Each,TBD,#M-449,,Guess,2,1,2.0,2.54%,37.50,-4.58,4.50,75,-9,9,,,No,,,,,
,,Spec Item,"Vessel Monitoring, Remote Base Group, Assembly 1",TRUE,,Matt,Updated,WP 3800,Sideways,101482-01,Bilge Forward,Monitoring,,Each,,,,Guess,30,1,30.0,38.12%,37.50,-3.29,4.50,1125,-99,135,,,No,,,,,
,,Spec Item,"compass Sensor N2K Rate, RC42N",TRUE,,Matt,Updated,WP 3800,Sideways,236166,Bilge Forward,Sensors,,Each,,,,Manufacturer,2,1,2.0,2.54%,37.50,-1.54,4.50,75,-3,9,,,No,,,,,
,,Spec Item,Compass,TRUE,,Matt,Updated,WP 3800,Sideways,214754,Bilge Forward,Nav / Comm Equipment,,Each,Maretron,SSC300-01,,Manufacturer,0.5,1,0.5,0.64%,37.50,1.54,4.50,19,1,2,,,No,,,,,
,,Spec Item,"Relay Base, Smoke Detector, SPST, With ABS Approval Certification",TRUE,,Matt,Updated,WP 3800,Sideways,235741,Bilge Forward,Safety,,Each,,,,Guess,1,1,1.0,1.27%,37.50,-1.25,4.50,38,-1,5,,,No,,,,,
,,Spec Item,"Optical Smoke Detector, with ABS Type Approval Certifications",TRUE,,Matt,Updated,WP 3800,Sideways,235740,Bilge Forward,Safety,24vdc,Each,Optical,TBD,,Manufacturer,0.2,1,0.2,0.25%,37.50,-1.25,4.50,8,-0,1,,,No,,,,,
,,Spec Item,"Matrix AP, Open Panel",,,Matt,Updated,WP 3800,Sideways,102538-01,Bilge Forward,TBD,TBD,Each,,,,Manufacturer,145,1,,,37.50,0.00,4.50,,,,,,No,,,,,
,,Spec Item,"Reactor, 3 Phase",,,Matt,Updated,WP 3800,Sideways,102539-01,Bilge Forward,TBD,,Each,,,,Manufacturer,37,1,,,32.10,1.58,4.50,,,,,,No,,,,,
,,Spec Item,"AC Contactor, Line ISO, 3 PH, 690V AC1, 300A@55C, W/XFMR",,,Matt,Updated,WP 3800,Sideways,102033-01,Bilge Forward,Electrical Fittings,,Each,,,,Guess,65,1,,,32.10,1.58,4.50,,,,,,No,,,,,
,,Spec Item,"Enclosure, 480vac, Distribution",,,Matt,Updated,WP 3800,Sideways,102964-01,Bilge Forward,Electrical Panels,,Each,,,,Guess,40,1,,,32.10,1.58,4.50,,,,,,No,,,,,
,,Spec Item,"Bracket, Line Reactor",,,Matt,Updated,WP 3800,Sideways,103117-01,Bilge Forward,TBD,,Each,,,,Solidworks,3.5,1,,,32.10,1.58,4.50,,,,,,No,,,,,
TRUE,,Spec Heading,"Electrical System, Bilge Mid",TRUE,,,Updated,,,100219.008-01,Bilge Amidships,,,,,,,SubItems,,,96.0,0.42%,62.80,0.13,5.50,6029,12,528,,,,,,,,
,,Spec Item,"Bilge Utility Light Assembly (Light Shim 740.011-40, Light Fixture 236486)",TRUE,,Matt,Updated,WP 3800,Sideways,"740.011-40, 236486",Bilge Amidships,TBD,,Each,,,,Guess,8,8,64.0,66.67%,62.80,0.00,5.50,4019,0,352,,,No,,,,,
,,Spec Item,"3-Way Utility Switch, Single Utility Box, Switch Cover Plate",TRUE,,Matt,Updated,WP 3800,Sideways,"22161, 22161,218869",Bilge Amidships,TBD,,Each,TBD,TBD,,Guess,4,3,12.0,12.50%,62.80,-1.36,5.50,754,-16,66,,,No,,,,,
,,Spec Item,"Miscellaneous Electrical System Components (Switches, J-Boxes, Etc.)",TRUE,,Matt,Updated,WP 3800,Sideways,NA,Bilge Amidships,Electrical Fittings,,Each,,,,Guess,20,1,20.0,20.83%,62.80,1.42,5.50,1256,28,110,,,No,,,,,
TRUE,,Spec Heading,"Electrical System, Engineroom",TRUE,,,Updated,,,100225.008-01,Engine Room,,,,,,,SubItems,,,450.0,1.95%,85.82,-1.89,7.76,38619,-851,3490,,,,,,,,
,,Spec Item,Miscellaneous Electrical System Switches and Brackets,TRUE,,Matt,Updated,WP 3800,Sideways,NA,Engineroom,TBD,N/A,Each,,,,Guess,10,1,10.0,2.22%,92.47,0.24,4.42,925,2,44,,,No,,,,,
TRUE,,Spec Item,"Cables, DDEC, 110ft",TRUE,,Matt,Updated,New,Sideways,23035-01,Engineroom,Wiring / Cables,TBD,Each,,,,Guess,2,110,220.0,48.89%,85.00,0.00,5.00,18700,0,1100,,,,,,,,
,,Spec Item,LOP (Local Operator Panel) 14-01,TRUE,,Matt,Updated,WP 3800,Sideways,235445,Engineroom,Monitoring,TBD,Each,TBD,TBD,,Guess,30,1,30.0,6.67%,83.00,-2.83,11.07,2490,-85,332,,,No,,,,,
,,Spec Item,LOP (Local Operator Panel) 14-01,TRUE,,Matt,Updated,WP 3800,Sideways,235445,Engineroom,Monitoring,TBD,Each,TBD,TBD,,Guess,30,1,30.0,6.67%,84.00,2.83,11.07,2520,85,332,,,No,,,,,
,,Spec Item,MT Box,TRUE,,Matt,Updated,WP 3800,Sideways,100225 MT BOX,Engineroom,TBD,,Each,,,,Guess,100,1,100.0,22.22%,84.50,-7.01,10.51,8450,-701,1051,,,No,,,,,
,,Spec Item,"Assembly, Motor Control Center",TRUE,,Matt,Updated,WP 3800,Sideways,103989-01,Engineroom,Controls,TBD,Each,Nautical Structures,,,Guess,40,1,40.0,8.89%,96.47,-3.92,9.73,3859,-157,389,,,No,,,,,
,,Spec Item,"Engineroom Display Enclosure, Fuel Meter & Vessel Monitoring",TRUE,,Matt,Updated,WP 3800,Sideways,501034-02,Engineroom,Monitoring,,Each,,,,Guess,20,1,20.0,4.44%,83.78,0.22,12.09,1676,4,242,,,No,,,,,
TRUE,,Spec Heading,"Electrical System, Bilge Aft",TRUE,,,Updated,,,100221.008-01,Bilge Aft,,,,,,,SubItems,,,23.0,0.10%,99.30,7.71,4.24,2284,177,98,,,,,,,,
,,Spec Item,"Switch, Ultra, Only Normally Open",TRUE,,Matt,Updated,WP 3800,Sideways,202432,Bilge Aft,TBD,,Each,Ultra,TBD,,Guess,3,1,3.0,13.04%,97.77,0.38,2.50,293,1,8,,,No,,,,,
,,Spec Item,"Transit, Slot Shaped, 4.00"" X 8.75""",TRUE,,Matt,Updated,New,Sideways,140461,Bilge Aft,TBD,,Each,,,,Guess,5,1,5.0,21.74%,97.44,9.65,4.50,487,48,23,,,,,,,,
,,Spec Item,"Transit, Slot Shaped, 4.00"" X 8.75""",TRUE,,Matt,Updated,New,Sideways,140461,Bilge Aft,TBD,,Each,,,,Guess,5,1,5.0,21.74%,97.44,7.54,4.50,487,38,23,,,,,,,,
,,Spec Item,"Miscellaneous Electrical System Fittings (Switches, Lights etc.)",TRUE,,Matt,Updated,WP 3800,Sideways,NA,Bilge Aft,Electrical Fittings,,Each,,,,Guess,10,1,10.0,43.48%,101.61,9.03,4.50,1016,90,45,,,,,,,,
TRUE,,Spec Heading,"Electrical System, Lazarette",TRUE,,,Updated,,,102313.008-01,Lazarette,,,,,,,SubItems,,,37.0,0.16%,108.58,3.52,6.61,4017,130,245,,,,,,,,
,,Spec Item,Miscellaneous Electrical System (Switches & Wires),TRUE,,Matt,Updated,WP 3800,Sideways,NA,Lazarette,Electrical Fittings,,Each,,,,Guess,25,1,25.0,67.57%,106.77,0.15,4.50,2669,4,113,,,,,,,,
,,Spec Item,Hawse Cap,TRUE,,Matt,Updated,WP 3800,Sideways,2413(HAWSE CAP),Lazarette,TBD,,Each,,,,Guess,5,2,10.0,27.03%,112.35,10.54,11.00,1124,105,110,,,,,,,,
,,Spec Item,L-Bracket,TRUE,,Matt,Updated,WP 3800,Sideways,2413(BRACKET),Lazarette,TBD,N/A,Each,,,,Guess,1,2,2.0,5.41%,112.35,10.54,11.00,225,21,22,,,,,,,,
,401,Heading,AC/DC Load Calculations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Calculations,AC Load Calculations,,,,,,,,,,,,,,,,,,,,,,,,,,4383-401-01,,,,,,,
,,Calculations,DC Load Calculations,,,,,,,,,,,,,,,,,,,,,,,,,,4383-401-02,,,,,,,
,402,Heading,Electrical Panel Arrangement,TRUE,,Chris,Updated,,,,,,,,,,,,,,1135.0,4.92%,73.77,0.99,14.07,83730,1122,15965,,,,,,,,
,402--00,Spec Heading,Electrical Panels Features & Components,TRUE,,Chris,Updated,,,,,,,,,,,,,,1135.0,100.00%,73.77,0.99,14.07,83730,1122,15965,,,,,,,,
,402--01,Spec Heading,AC Switchboard(s),TRUE,,Chris,Updated,,,,,,,,,,,,,,885.0,77.97%,71.39,0.14,13.69,63180,127,12115,,,,,,,,
,,Spec Item,"Assembly, Motor Control Center",TRUE,,Chris,Updated,WP 3800,Sideways,103989-01,Control Room,Electrical Panels,"208vac, 3ph",Each,,,,Guess,45,1,45.0,5.08%,102.30,5.30,11.00,4604,239,495,,,,,,,,
,,Spec Item,"Electrical Sub-Panel, 3 Phase. 2 Stack, 208VAC",TRUE,,Chris,Updated,WP 3800,Sideways,100682-01,Attic,Electrical Panels,"208vac, 3ph",Each,,,,Guess,140,1,140.0,15.82%,63.50,1.50,23.00,8890,210,3220,,,,,,,,
,,Spec Item,"Sub Panel Two Stack, Horizontal, 208VAC, 3 Phase - Galley",TRUE,,Chris,Updated,WP 3800,Sideways,100682-01,Electronics Room,Electrical Panels,"208vac, 3ph",Each,,,,Guess,140,1,140.0,15.82%,50.00,1.00,17.00,7000,140,2380,,,,,,,,
,,Spec Item,"Sub Panel Two Stack, Horizontal, 208VAC, 3PH",TRUE,,Chris,Updated,WP 3800,Sideways,100682-01,Equipment Room,Electrical Panels,"208vac, 3ph",Each,,,,Guess,140,1,140.0,15.82%,98.00,-7.30,11.00,13720,-1022,1540,,,,,,,,
,,Spec Item,"Sub Panel, Two Stack, 240VAC 1PH, and 208VAC 3PH",TRUE,,Chris,Updated,WP 3800,Sideways,104302-01,"Guest Foyer, Lower Deck",Electrical Panels,208 vac,Each,,,,Guess,140,1,140.0,15.82%,65.50,2.00,10.00,9170,280,1400,,,,,,,,
,,Spec Item,"Sub Panel, Two Stack, Vertical, 208VAC, 3PH",TRUE,,Chris,Updated,WP 3800,Sideways,100365-01,Crew Mess,Electrical Panels,"208vac, 3ph",Each,,,,Guess,140,1,140.0,15.82%,43.70,-4.60,11.00,6118,-644,1540,,,No,,,,,
,,Spec Item,"Sub Panel, 208 VAC, 3 PH, 42 Space",TRUE,,Chris,Updated,WP 3800,Sideways,100521-01,Control Room,Electrical Panels,"208vac, 3ph",Each,Siemens,P1 - 42 circuit,https://www.downloads.siemens.com/download-center/Download.aspx?pos=download&fct=getasset&id1=BTLV_41311,Manufacturer,140,1,140.0,15.82%,97.70,6.60,11.00,13678,924,1540,,,,,,,,
,402--02,Spec Heading,DC Switchboard(s),TRUE,,Chris,Updated,,,,,Electrical Panels,24vdc,,,,,,,,250.0,22.03%,82.20,3.98,15.40,20550,995,3850,,,,,,,,
,,Spec Item,Main Switchboard,TRUE,,Chris,Updated,,,,Control Room,Electrical Panels,24vdc,Each,,,,Estimate,150,1,150.0,60.00%,104.00,5.30,11.00,15600,795,1650,,,,,,,,
,,Spec Item,Pilothouse DC Panel,TRUE,,Chris,Updated,,,,Pilothouse,Electrical Panels,24vdc,Each,,,,Estimate,100,1,100.0,40.00%,49.50,2.00,22.00,4950,200,2200,,,,,,,,
,402-00,Design Heading,Electrical Panels Design & 3D modelling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3D models,Electrical Panels 3D modelling,,,,,,,,,,,,,,,,,,,,,,,,,,4383-402-01,,,,,,,
,,Drawings / Deliverables,Electrical Panels A&D,,,,,,,,,,,,,,,,,,,,,,,,,,4383-402-02,,,,,,,
,403,Heading,Cable & Cable Trays,TRUE,,Matt,Updated,,,,,,,,,,,,,,7250.0,31.45%,68.10,0.00,12.76,493750,0,92500,,,,,,,,
,403-00,Spec Heading,"Cables, Cable Trays Features & Components",TRUE,,,,,,,,,,,,,,,,,7250.0,100.00%,68.10,0.00,12.76,493750,0,92500,,,,,,,,
,,Spec Item,AC Wiring for Whole Boat,TRUE,,Matt,Updated,,,Acwire,,Wiring / Cables,,Each,,,,Guess,5000,1,5000.0,68.97%,65.00,0.00,14.00,325000,0,70000,,,,,,,,
,,Spec Item,DC Wiring for Whole Boat,TRUE,,Matt,Updated,,,Dcwire,,Wiring / Cables,,Each,,,,Guess,2250,1,2250.0,31.03%,75.00,0.00,10.00,168750,0,22500,,,,,,,,
,403-01,Specifications,Cables,,,,,,,,,Wiring / Cables,,,,,,,,,,,,,,,,,,,,,,,,
,403-02,Specifications,Cable Penetrations,,,,,,,,,TBD,,,,,,,,,,,,,,,,,,,,,,,,
,403-03,Specifications,Cable Trays,,,,,,,,,TBD,,,,,,,,,,,,,,,,,,,,,,,,
,403-04,Specifications,Labelling,,,,,,,,,TBD,,,,,,,,,,,,,,,,,,,,,,,,
,403-00,Design Heading,Cable Trays Design & 3D modelling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3D models,3D Modelling,,,,,,,,,,,,,,,,,,,,,,,,,,4383-403-01,,,,,,,
,,Drawings / Deliverables,Cable Trays A&D,,,,,,,,,,,,,,,,,,,,,,,,,,4383-403-02,,,,,,,
TRUE,404,Heading,Emergency Power System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,404-00,Spec Heading,Emergency Power System Features & Components,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Design Heading,Emergency Power System Design,,,,,,,,,,,,,,,,,,,,,,,,,,4383-403-01,,,,,,,
,405,Heading,AC Systems,TRUE,,Chris,Updated,,Down,,,,,,,,,,,,9684.5,42.02%,94.14,3.37,8.86,911702,32645,85771,,,,,,,,
,405-00,Spec Heading,AC Systems Features & Components,TRUE,,,,,Down,,,,,,,,,,,,9684.5,100.00%,94.14,3.37,8.86,911702,32645,85771,,,,,,,,
,405-01,Spec Heading,Main Generators,TRUE,,Matt,Updated,New,Down,,,,,,,,,,,,6236.0,64.39%,88.75,0.00,8.80,553445,0,54863,,,,,,,,
,,Spec Item,"Generator, 65 KW, 120/208 V .8PH, 3 PH, 1800 RPM (PORT)",TRUE,,Matt,Updated,New,Down,Need New,Engineroom,Mechanical Equipment,,Each,,,,Manufacturer,2594,1,2594.0,41.60%,88.75,-8.75,8.82,230218,-22698,22874,,,,,,,,
,,Spec Item,"Generator, 65 KW, 120/208 V .8PH, 3 PH, 1800 RPM (STBD)",TRUE,,Matt,Updated,New,Down,Need New,Engineroom,Mechanical Equipment,,Each,,,,Manufacturer,2594,1,2594.0,41.60%,88.75,8.75,8.82,230218,22698,22874,,,,,,,,
,,Spec Item,"Foundation, Generator Mount",TRUE,,Matt,Updated,New,Sideways,Need New,Engineroom,Foundations,,Each,Westport Shipyards,,,Solidworks,15,4,60.0,0.96%,88.75,0.00,6.67,5325,0,400,,,,,,,,
,405-01-01,Specifications,Genset Soundshield (s),TRUE,,Matt,Updated,New,Down,Need New,Engineroom,TBD,,,,,,,492,2,984.0,15.78%,88.75,0.00,8.82,87330,0,8677,,,,,,,,
,405-01-02,Specifications,Genset Controller,TRUE,,Chris,Updated,New,Sideways,,Engineroom,Controls,,Each,Selco,C6200,https://www.selco.com/products/generator-controllers/c6200-flexgen-generator-controller/,Estimate,2,2,4.0,0.06%,88.75,0.00,9.50,355,0,38,,,,,,,,
,405-04,Spec Heading,Shore Supply #1,TRUE,,Matt,Updated,,Sideways,,,,,,,,,,,,168.8,1.74%,109.24,9.93,7.80,18435,1675,1316,,,,,,,,
,,Spec Item,Shore Cord Retracter #1,TRUE,,Matt,Updated,WP 3800,Sideways,2413,Lazarette,TBD,24vdc,Each,Glenndinning,Cablemaster CM-8,,Manufacturer,40,1,40.0,23.70%,109.73,10.75,11.23,4389,430,449,,,No,,,,,
,,Spec Item,Shore Cord Bucket #1,TRUE,,Matt,Updated,WP 3800,Sideways,100232-GLEN DINNING BUCKET,Lazarette,TBD,,Each,Glenndinning,100232,,Guess,20,1,20.0,11.85%,109.00,9.58,6.16,2180,192,123,,,No,,,,,"26"" dia. x 30"" h"
,,Spec Item,Shore Power Cord #1 4 cond 35mm2,TRUE,,Matt,Updated,WP 3800,Sideways,221940,Lazarette,TBD,,LF,Glenndinning,PPE-2-4,,Guess,1.29,75,96.8,57.33%,109.00,9.58,6.29,10546,927,609,,,No,,,,,
